county_fips,median_income
13243,13243.0
13003,13003.0
13017,13017.0
13007,13007.0
13161,13161.0
13259,13259.0
13165,13165.0
13307,13307.0
13141,13141.0
13261,13261.0
13265,13265.0
13001,13001.0
13049,13049.0
13269,13269.0
13299,13299.0
13095,13095.0
13301,13301.0
13287,13287.0
13173,13173.0
13193,13193.0
13033,13033.0
13107,13107.0
13075,13075.0
13053,13053.0
13263,13263.0
13163,13163.0
13303,13303.0
13005,13005.0
13091,13091.0
13271,13271.0
13069,13069.0
13099,13099.0
13081,13081.0
13189,13189.0
13071,13071.0
13309,13309.0
13167,13167.0
13273,13273.0
13305,13305.0
13315,13315.0
13109,13109.0
13209,13209.0
13319,13319.0
13235,13235.0
13181,13181.0
13267,13267.0
13087,13087.0
13239,13239.0
13197,13197.0
13245,13245.0
13205,13205.0
13019,13019.0
13175,13175.0
13179,13179.0
13063,13063.0
13111,13111.0
13131,13131.0
13037,13037.0
13321,13321.0
13119,13119.0
13293,13293.0
13199,13199.0
13105,13105.0
13277,13277.0
13021,13021.0
13191,13191.0
13093,13093.0
13317,13317.0
13027,13027.0
13279,13279.0
13233,13233.0
13283,13283.0
13253,13253.0
13043,13043.0
13251,13251.0
13025,13025.0
13101,13101.0
13023,13023.0
13183,13183.0
13289,13289.0
13215,13215.0
13065,13065.0
13285,13285.0
13257,13257.0
13155,13155.0
13295,13295.0
13159,13159.0
13229,13229.0
13313,13313.0
13185,13185.0
13035,13035.0
13255,13255.0
13195,13195.0
13009,13009.0
13281,13281.0
13079,13079.0
13147,13147.0
13083,13083.0
13201,13201.0
13213,13213.0
13115,13115.0
13149,13149.0
13125,13125.0
13129,13129.0
13061,13061.0
13249,13249.0
13031,13031.0
13241,13241.0
13137,13137.0
13039,13039.0
13059,13059.0
13247,13247.0
13217,13217.0
13123,13123.0
13143,13143.0
13171,13171.0
13275,13275.0
13127,13127.0
13011,13011.0
13291,13291.0
13047,13047.0
13169,13169.0
13237,13237.0
13221,13221.0
13045,13045.0
13051,13051.0
13311,13311.0
13013,13013.0
13227,13227.0
13225,13225.0
13187,13187.0
13097,13097.0
13151,13151.0
13139,13139.0
13015,13015.0
13153,13153.0
13157,13157.0
13211,13211.0
13297,13297.0
13135,13135.0
13103,13103.0
13177,13177.0
13089,13089.0
13133,13133.0
13207,13207.0
13231,13231.0
13085,13085.0
13223,13223.0
13145,13145.0
13029,13029.0
13077,13077.0
13073,13073.0
13057,13057.0
13067,13067.0
13121,13121.0
13113,13113.0
13219,13219.0
13117,13117.0
