county_fips,county_name,total,white_pct,black_pct,asian_pct,hispanic_pct
13273,Terrell County,8941,36.37,59.86,1.21,2.45
13275,Thomas County,45696,58.28,35.84,0.86,3.79
13277,Tift County,41322,57.17,29.03,1.12,12.91
13279,Toombs County,26943,63.29,23.75,0.85,11.71
13281,Towns County,12739,93.54,1.67,0.04,3.29
13283,Treutlen County,6387,64.46,31.31,0.0,0.61
13285,Troup County,69821,55.78,36.5,2.4,4.41
13287,Turner County,8915,55.89,37.64,0.0,4.66
13289,Twiggs County,7869,55.43,40.6,0.7,0.78
13291,Union County,25598,93.46,0.88,0.17,3.59
13293,Upson County,27856,67.67,26.5,0.38,2.52
13295,Walker County,68449,90.53,4.37,0.6,2.71
13297,Walton County,100361,72.13,19.73,1.39,6.09
13299,Ware County,35958,62.12,29.89,1.2,4.76
13301,Warren County,5175,39.44,57.6,0.33,1.1
13303,Washington County,19893,42.29,51.59,0.54,1.98
13305,Wayne County,30519,72.04,19.91,1.05,6.08
13307,Webster County,2348,46.0,49.02,0.0,7.07
13309,Wheeler County,7434,58.99,38.46,0.0,4.24
13311,White County,28454,90.66,2.05,0.66,3.49
13313,Whitfield County,103118,69.66,3.4,1.48,36.56
13315,Wilcox County,8784,61.28,33.5,0.0,3.67
13317,Wilkes County,9553,52.04,40.99,0.0,4.64
13319,Wilkinson County,8795,55.41,38.21,0.01,3.15
13321,Worth County,20575,67.59,24.21,0.74,2.25
