COUNTY,CTYNAME,TOT_POP,WA_TOTAL,BA_TOTAL,IA_TOTAL,AA_TOTAL,NA_TOTAL,TOM_TOTAL,H_TOTAL,FIPS
1,Appling County,37338,76.33510096952166,19.379720392093848,0.9641651936365098,0.9802346135304516,0.25175424500508864,2.089024586212438,11.639616476511865,13001
3,Atkinson County,16870,75.32898636633077,16.253704801422643,2.039122703023118,1.1855364552459988,1.8375815056312983,3.3550681683461767,29.62655601659751,13003
5,Bacon County,22090,78.28881846989589,17.555454956994115,0.48890900860117703,1.1860570393843368,0.26256224535989137,2.218198279764599,8.990493435943867,13005
7,Baker County,5464,53.879941434846266,40.666178623718885,1.500732064421669,1.8301610541727673,0.07320644216691069,2.049780380673499,6.808199121522694,13007
9,Baldwin County,87288,53.95930712125379,42.21198790211713,0.35743744844652187,1.7459444597195493,0.08706809641646046,1.6382549720465587,3.086334891394006,13009
11,Banks County,40636,91.4361649768678,3.735603898021459,0.7284181513928537,1.7915149128851264,0.11812186238803032,2.1901761984447288,8.189782458903435,13011
13,Barrow County,192588,74.81670716763246,16.89409516688475,0.724863439051239,4.698112031902299,0.132926246702806,2.733295947826448,17.42164620848651,13013
15,Bartow County,235016,83.02924056234468,12.133641964802397,0.708887905504306,1.4135207815638084,0.17360520134799332,2.5411035844368044,11.259658916839705,13015
17,Ben Hill County,33890,59.13838890528179,37.16140454411331,0.8321038654470345,0.9383298908232517,0.041310120979640014,1.8884626733549719,7.494836234877544,13017
19,Berrien County,37332,83.9387120968606,12.182577949212472,0.6482374370513233,1.0714668381013608,0.14464802314368372,2.0143576556305582,6.718097074895532,13019
21,Bibb County,314112,37.824724938875306,57.36679910350448,0.4100448247758761,2.392777098614507,0.1489914425427873,1.8566625916870416,5.186048288508557,13021
23,Bleckley County,25252,71.24980199588151,25.24156502455251,0.2376049421827974,1.2355456993505465,0.031680658957706324,2.0038016790749245,3.9521622049738636,13023
25,Brantley County,37590,92.12556530992285,4.78318701782389,0.633147113594041,0.3830806065442937,0.037243947858472994,2.0377760042564512,2.857142857142857,13025
27,Brooks County,32688,60.18722466960352,35.646108663729805,0.5690161527165932,1.4561918746940774,0.23250122369065102,1.908957415565345,7.617474302496328,13027
29,Bryan County,102210,76.37021817826044,15.869288719303395,0.66334018197828,3.1601604539673223,0.17415125721553665,3.7628412092750216,8.94237354466295,13029
31,Bulloch County,170908,66.0132937018747,29.325719100334684,0.5897909986659489,1.4557539728976994,0.15680951155007372,2.4586327146769023,5.324502071289817,13031
33,Burke County,48944,50.86629617522066,45.69712324288983,0.5966001961425302,0.7396207911082053,0.14710689767898005,1.9532526969597908,3.7798300098071267,13033
35,Butts County,54254,67.20241825487521,29.17388579643897,0.4497364249640579,0.7114682788365835,0.055295462085744825,2.4071957827994246,4.460500608250083,13035
37,Calhoun County,10882,35.14059915456718,61.569564418305454,0.4962323102370888,1.1211174416467562,0.3675794890645102,1.3049071861790111,2.8303620657967286,13037
39,Camden County,118198,75.25846461023029,18.475777931944705,0.7343609874955583,1.710688844142879,0.2673480092725765,3.553359616913992,8.169342966886074,13039
43,Candler County,22260,70.45822102425876,25.59748427672956,0.5390835579514826,1.2129380053908356,0.13477088948787064,2.0575022461814916,12.93800539083558,13043
45,Carroll County,259822,74.22851028781243,20.914318264042304,0.7004795590827567,1.241619262418117,0.12008221012847256,2.7949904165159225,9.41721640199829,13045
47,Catoosa County,137880,91.35335073977372,3.774296489701189,0.6106759501015375,1.721787061212649,0.17696547722657385,2.362924281984334,4.535828256454888,13047
49,Charlton County,26042,66.78442515935797,27.048613777743647,1.8815759158282774,0.8831886951847017,0.24575685431226482,3.156439597573151,14.745411258735889,13049
51,Chatham County,614672,52.66711351745321,40.56342244318921,0.5046593955800818,3.5205768279667855,0.15813311815081865,2.58609469765989,8.852200848582658,13051
53,Chattahoochee County,17096,68.90500701918577,19.46654188114179,1.953673373888629,3.474496958352831,1.0996724379971923,5.100608329433785,18.42536265793168,13053
55,Chattooga County,50612,85.78202797755473,9.879080060064807,0.7508100845649253,0.663874180036355,0.37145341025843676,2.552754287520746,6.3660791907057614,13055
57,Cherokee County,587026,84.87562731463343,8.520917301789018,0.8388044141145367,3.2213223945787752,0.1185637433435657,2.4247648315406813,12.862121950305438,13057
59,Clarke County,259990,65.39097657602215,26.96949882687796,0.5915612138928421,4.37401438516866,0.1407746451786607,2.5331743528597253,12.566637178353012,13059
61,Clay County,5630,38.40142095914742,57.97513321492007,0.39076376554174064,1.7761989342806392,0.07104795737122557,1.3854351687388986,1.9893428063943162,13061
63,Clayton County,595406,18.730412525234883,72.59819350157709,0.6593820015250098,5.3808661652721,0.14578287756589622,2.485362928825037,14.915536625428699,13063
65,Clinch County,13742,68.44709649250473,27.08484936690438,1.018774559743851,0.6403725804104206,0.13098530053849514,2.6779216998981226,5.705137534565565,13065
67,Cobb County,1575076,60.70830867843837,29.303474879942303,0.7086642168377907,6.176971777869767,0.0783454258715135,3.024235021040255,15.795174328095914,13067
69,Coffee County,87702,67.87302456044331,28.284417687167913,0.6499281658343025,0.8734122368931153,0.30786071013203803,2.011356639529315,14.80924038220337,13069
71,Colquitt County,93954,71.09223662643421,23.749920173702023,2.307512186814824,1.0686080422334332,0.16603869978925856,1.615684271026247,23.102794984779788,13071
73,Columbia County,334944,68.81209993312315,21.774983280787236,0.4902312028279354,5.096971434030763,0.2251122575714149,3.6006018916595015,8.246154581064296,13073
75,Cook County,35968,66.49799822064057,27.969306049822062,2.229759786476868,0.9286032028469751,0.07784697508896797,2.2964857651245554,8.88567615658363,13075
